Customer_ID,Customer_Name,Customer_Segment,Customer_Area,City,State
CUST10001,Customer 0001,SMB,HITEC City,Hyderabad,Telangana
CUST10002,Customer 0002,Enterprise,LB Nagar,Hyderabad,Telangana
CUST10003,Customer 0003,Enterprise,Attapur,Hyderabad,Telangana
CUST10004,Customer 0004,SMB,Mehdipatnam,Hyderabad,Telangana
CUST10005,Customer 0005,Consumer,LB Nagar,Hyderabad,Telangana
CUST10006,Customer 0006,Consumer,Jubilee Hills,Hyderabad,Telangana
CUST10007,Customer 0007,Consumer,Uppal,Hyderabad,Telangana
CUST10008,Customer 0008,SMB,Secunderabad,Hyderabad,Telangana
CUST10009,Customer 0009,Consumer,Kukatpally,Hyderabad,Telangana
CUST10010,Customer 0010,Consumer,Kompally,Hyderabad,Telangana
CUST10011,Customer 0011,Enterprise,Uppal,Hyderabad,Telangana
CUST10012,Customer 0012,Consumer,Begumpet,Hyderabad,Telangana
CUST10013,Customer 0013,Consumer,Banjara Hills,Hyderabad,Telangana
CUST10014,Customer 0014,Consumer,Ameerpet,Hyderabad,Telangana
CUST10015,Customer 0015,SMB,Uppal,Hyderabad,Telangana
CUST10016,Customer 0016,Consumer,HITEC City,Hyderabad,Telangana
CUST10017,Customer 0017,SMB,Kompally,Hyderabad,Telangana
CUST10018,Customer 0018,SMB,Kondapur,Hyderabad,Telangana
CUST10019,Customer 0019,Consumer,Kondapur,Hyderabad,Telangana
CUST10020,Customer 0020,Consumer,Madhapur,Hyderabad,Telangana
CUST10021,Customer 0021,Consumer,Uppal,Hyderabad,Telangana
CUST10022,Customer 0022,Consumer,Mehdipatnam,Hyderabad,Telangana
CUST10023,Customer 0023,Consumer,Jubilee Hills,Hyderabad,Telangana
CUST10024,Customer 0024,Consumer,Gachibowli,Hyderabad,Telangana
CUST10025,Customer 0025,Enterprise,Kukatpally,Hyderabad,Telangana
CUST10026,Customer 0026,Consumer,HITEC City,Hyderabad,Telangana
CUST10027,Customer 0027,Consumer,Madhapur,Hyderabad,Telangana
CUST10028,Customer 0028,SMB,HITEC City,Hyderabad,Telangana
CUST10029,Customer 0029,Consumer,Madhapur,Hyderabad,Telangana
CUST10030,Customer 0030,Enterprise,Secunderabad,Hyderabad,Telangana
CUST10031,Customer 0031,Consumer,Kondapur,Hyderabad,Telangana
CUST10032,Customer 0032,SMB,Miyapur,Hyderabad,Telangana
CUST10033,Customer 0033,SMB,Dilsukhnagar,Hyderabad,Telangana
CUST10034,Customer 0034,SMB,Secunderabad,Hyderabad,Telangana
CUST10035,Customer 0035,Consumer,HITEC City,Hyderabad,Telangana
CUST10036,Customer 0036,SMB,Kompally,Hyderabad,Telangana
CUST10037,Customer 0037,SMB,Kompally,Hyderabad,Telangana
CUST10038,Customer 0038,Consumer,Attapur,Hyderabad,Telangana
CUST10039,Customer 0039,Consumer,HITEC City,Hyderabad,Telangana
CUST10040,Customer 0040,Consumer,Kukatpally,Hyderabad,Telangana
CUST10041,Customer 0041,Consumer,Gachibowli,Hyderabad,Telangana
CUST10042,Customer 0042,Consumer,Madhapur,Hyderabad,Telangana
CUST10043,Customer 0043,SMB,Ameerpet,Hyderabad,Telangana
CUST10044,Customer 0044,SMB,Nallagandla,Hyderabad,Telangana
CUST10045,Customer 0045,SMB,Kukatpally,Hyderabad,Telangana
CUST10046,Customer 0046,SMB,Kompally,Hyderabad,Telangana
CUST10047,Customer 0047,Enterprise,Banjara Hills,Hyderabad,Telangana
CUST10048,Customer 0048,Consumer,Attapur,Hyderabad,Telangana
CUST10049,Customer 0049,Consumer,Begumpet,Hyderabad,Telangana
CUST10050,Customer 0050,SMB,Jubilee Hills,Hyderabad,Telangana
CUST10051,Customer 0051,Enterprise,Secunderabad,Hyderabad,Telangana
CUST10052,Customer 0052,Enterprise,Jubilee Hills,Hyderabad,Telangana
CUST10053,Customer 0053,SMB,Secunderabad,Hyderabad,Telangana
CUST10054,Customer 0054,Consumer,Banjara Hills,Hyderabad,Telangana
CUST10055,Customer 0055,Consumer,Ameerpet,Hyderabad,Telangana
CUST10056,Customer 0056,Consumer,Madhapur,Hyderabad,Telangana
CUST10057,Customer 0057,Consumer,Uppal,Hyderabad,Telangana
CUST10058,Customer 0058,Enterprise,Begumpet,Hyderabad,Telangana
CUST10059,Customer 0059,Consumer,Dilsukhnagar,Hyderabad,Telangana
CUST10060,Customer 0060,Consumer,Kondapur,Hyderabad,Telangana
CUST10061,Customer 0061,Consumer,Attapur,Hyderabad,Telangana
CUST10062,Customer 0062,Consumer,HITEC City,Hyderabad,Telangana
CUST10063,Customer 0063,Consumer,LB Nagar,Hyderabad,Telangana
CUST10064,Customer 0064,SMB,Ameerpet,Hyderabad,Telangana
CUST10065,Customer 0065,Consumer,Kukatpally,Hyderabad,Telangana
CUST10066,Customer 0066,Consumer,HITEC City,Hyderabad,Telangana
CUST10067,Customer 0067,Consumer,LB Nagar,Hyderabad,Telangana
CUST10068,Customer 0068,SMB,Banjara Hills,Hyderabad,Telangana
CUST10069,Customer 0069,Consumer,Begumpet,Hyderabad,Telangana
CUST10070,Customer 0070,Consumer,LB Nagar,Hyderabad,Telangana
CUST10071,Customer 0071,SMB,LB Nagar,Hyderabad,Telangana
CUST10072,Customer 0072,Consumer,Nallagandla,Hyderabad,Telangana
CUST10073,Customer 0073,Enterprise,Gachibowli,Hyderabad,Telangana
CUST10074,Customer 0074,Consumer,Secunderabad,Hyderabad,Telangana
CUST10075,Customer 0075,SMB,LB Nagar,Hyderabad,Telangana
CUST10076,Customer 0076,Enterprise,Secunderabad,Hyderabad,Telangana
CUST10077,Customer 0077,SMB,LB Nagar,Hyderabad,Telangana
CUST10078,Customer 0078,Consumer,Jubilee Hills,Hyderabad,Telangana
CUST10079,Customer 0079,Consumer,Madhapur,Hyderabad,Telangana
CUST10080,Customer 0080,Consumer,Uppal,Hyderabad,Telangana
CUST10081,Customer 0081,Consumer,Nallagandla,Hyderabad,Telangana
CUST10082,Customer 0082,Consumer,Dilsukhnagar,Hyderabad,Telangana
CUST10083,Customer 0083,Consumer,Begumpet,Hyderabad,Telangana
CUST10084,Customer 0084,Consumer,Dilsukhnagar,Hyderabad,Telangana
CUST10085,Customer 0085,Consumer,Gachibowli,Hyderabad,Telangana
CUST10086,Customer 0086,SMB,Mehdipatnam,Hyderabad,Telangana
CUST10087,Customer 0087,Consumer,Kompally,Hyderabad,Telangana
CUST10088,Customer 0088,Consumer,Uppal,Hyderabad,Telangana
CUST10089,Customer 0089,Consumer,Attapur,Hyderabad,Telangana
CUST10090,Customer 0090,SMB,LB Nagar,Hyderabad,Telangana
CUST10091,Customer 0091,SMB,LB Nagar,Hyderabad,Telangana
CUST10092,Customer 0092,Consumer,Attapur,Hyderabad,Telangana
CUST10093,Customer 0093,Consumer,Uppal,Hyderabad,Telangana
CUST10094,Customer 0094,Consumer,Begumpet,Hyderabad,Telangana
CUST10095,Customer 0095,SMB,HITEC City,Hyderabad,Telangana
CUST10096,Customer 0096,Enterprise,Begumpet,Hyderabad,Telangana
CUST10097,Customer 0097,Consumer,Mehdipatnam,Hyderabad,Telangana
CUST10098,Customer 0098,Consumer,Kompally,Hyderabad,Telangana
CUST10099,Customer 0099,Consumer,Manikonda,Hyderabad,Telangana
CUST10100,Customer 0100,SMB,Kompally,Hyderabad,Telangana
CUST10101,Customer 0101,Consumer,LB Nagar,Hyderabad,Telangana
CUST10102,Customer 0102,Consumer,Miyapur,Hyderabad,Telangana
CUST10103,Customer 0103,Consumer,Tarnaka,Hyderabad,Telangana
CUST10104,Customer 0104,Enterprise,Dilsukhnagar,Hyderabad,Telangana
CUST10105,Customer 0105,Enterprise,Madhapur,Hyderabad,Telangana
CUST10106,Customer 0106,Consumer,Ameerpet,Hyderabad,Telangana
CUST10107,Customer 0107,Consumer,Gachibowli,Hyderabad,Telangana
CUST10108,Customer 0108,Consumer,LB Nagar,Hyderabad,Telangana
CUST10109,Customer 0109,Consumer,Dilsukhnagar,Hyderabad,Telangana
CUST10110,Customer 0110,Consumer,Dilsukhnagar,Hyderabad,Telangana
CUST10111,Customer 0111,Consumer,Nallagandla,Hyderabad,Telangana
CUST10112,Customer 0112,Consumer,Tarnaka,Hyderabad,Telangana
CUST10113,Customer 0113,Consumer,Tarnaka,Hyderabad,Telangana
CUST10114,Customer 0114,Consumer,Madhapur,Hyderabad,Telangana
CUST10115,Customer 0115,Consumer,Manikonda,Hyderabad,Telangana
CUST10116,Customer 0116,SMB,Kompally,Hyderabad,Telangana
CUST10117,Customer 0117,Consumer,Dilsukhnagar,Hyderabad,Telangana
CUST10118,Customer 0118,Consumer,Miyapur,Hyderabad,Telangana
CUST10119,Customer 0119,Consumer,Jubilee Hills,Hyderabad,Telangana
CUST10120,Customer 0120,SMB,HITEC City,Hyderabad,Telangana
CUST10121,Customer 0121,Consumer,Begumpet,Hyderabad,Telangana
CUST10122,Customer 0122,Consumer,Ameerpet,Hyderabad,Telangana
CUST10123,Customer 0123,SMB,Kondapur,Hyderabad,Telangana
CUST10124,Customer 0124,Enterprise,Miyapur,Hyderabad,Telangana
CUST10125,Customer 0125,Consumer,Miyapur,Hyderabad,Telangana
CUST10126,Customer 0126,Consumer,HITEC City,Hyderabad,Telangana
CUST10127,Customer 0127,SMB,Madhapur,Hyderabad,Telangana
CUST10128,Customer 0128,Consumer,Attapur,Hyderabad,Telangana
CUST10129,Customer 0129,SMB,Gachibowli,Hyderabad,Telangana
CUST10130,Customer 0130,Consumer,Kompally,Hyderabad,Telangana
CUST10131,Customer 0131,Consumer,Secunderabad,Hyderabad,Telangana
CUST10132,Customer 0132,Enterprise,Manikonda,Hyderabad,Telangana
CUST10133,Customer 0133,Consumer,Ameerpet,Hyderabad,Telangana
CUST10134,Customer 0134,SMB,Mehdipatnam,Hyderabad,Telangana
CUST10135,Customer 0135,Consumer,Banjara Hills,Hyderabad,Telangana
